Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WEST VIRGINA TOTAL,54 55,27.0,,81.0,28.0,2.0,3.0,4.0,13.0,15.0,24.0,43.0,63.0,77.0,87.8,140,,WEST VIRGINA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,54 55,30.0,,54.0,13.0,1.0,1.0,2.0,4.0,6.0,8.0,15.0,24.0,35.0,93.7,140,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,54 56,26.0,,73.0,26.0,4.0,5.0,11.0,13.0,18.0,32.0,37.0,47.0,590.0,90.1,140,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,55 56,32.0,,33.0,9.0,1.0,2.0,3.0,5.0,7.0,8.0,,13.0,28.0,94.9,140,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
ILLINOIS TOTAL,54,149.0,,155.0,38.0,4.0,9.0,14.0,22.0,27.0,38.0,49.0,63.0,91.0,87.2,140,state_total,ILLINOIS TOTAL,,,state_aggregate,False,False
PNOIANA TOTAL,55 56,86.0,,300.0,36.0,6.0,10.0,16.0,21.0,26.0,33.0,45.0,53.0,66.0,85.5,140,,PNOIANA TOTAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 54,31.0,,142.0,76.0,8.0,24.0,43.0,55.0,86.0,103.0,110.0,117.0,128.0,93.2,140,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,54 57,,,500.0,54.0,9.0,20.0,28.0,43.0,48.0,54.0,61.0,69.0,93.0,89.9,140,state_total,OHIO TOTAL,,,state_aggregate,True,False
WISCONSIN TOTAL,57,19.0,,140.0,32.0,9.0,13.0,18.0,21.0,23.0,24.0,28.0,37.0,50.0,93.8,140,state_total,WISCONSIN TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,54 55,35.0,,89.0,24.0,3.0,5.0,9.0,9.0,12.0,15.0,37.0,50.0,67.0,93.4,140,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,54 56,62.0,,68.0,20.0,3.0,7.0,9.0,,14.0,20.0,26.0,33.0,41.0,94.0,140,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54 55,50.0,,40.0,6.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,,13.0,92.5,140,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,54 55,154.0,,105.0,15.0,2.0,3.0,4.0,6.0,8.0,11.0,,26.0,40.0,91.2,140,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 55,26.0,,53.0,18.0,2.0,3.0,7.0,10.0,13.0,14.0,15.0,37.0,47.0,90.1,140,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,54 55,31.0,,59.0,,4.0,9.0,,15.0,17.0,20.0,24.0,31.0,590.0,91.7,140,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,40.0,,998.0,85.0,2.0,13.0,21.0,47.0,58.0,67.0,92.0,,158.0,92.9,140,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 56,220.0,,114.0,20.0,1.0,4.0,6.0,9.0,12.0,19.0,26.0,38.0,52.0,94.8,140,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54 55,74.0,,98.0,37.0,7.0,16.0,21.0,26.0,32.0,40.0,49.0,55.0,72.0,89.8,140,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,20.0,,100.0,38.0,11.0,15.0,24.0,33.0,35.0,37.0,47.0,54.0,67.0,94.1,140,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLAND TOTAL,55 56,85.0,,37.0,7.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,,14.0,90.2,140,region_total,NEW ENGLAND TOTAL,,,skip,True,False
MID ATLNTC TOTAL,54 56,480.0,,160.0,14.0,1.0,1.0,2.0,3.0,5.0,7.0,11.0,19.0,43.0,88.6,140,,MID ATLNTC TOTAL,,0.0,unmatched,True,False
MID EAST TOTAL,54 57,162.0,,130.0,23.0,3.0,,9.0,13.0,18.0,26.0,38.0,,66.0,92.9,140,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,54 56,88.0,,73.0,15.0,1.0,2.0,4.0,6.0,10.0,12.0,19.0,30.0,40.0,94.4,140,,SOUTH EAST TOT AL,,,skip,True,False
MID WEST TOTAL,53 57,457.0,,300.0,46.0,6.0,13.0,20.0,26.0,38.0,47.0,56.0,67.0,97.0,92.5,140,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,54 56,97.0,,89.0,,3.0,6.0,9.0,10.0,13.0,19.0,28.0,36.0,52.0,92.8,140,region_total,GREAT PLAINS TOTAL,,,skip,True,False
GULF SOUTH TOT AL,54 55,204.0,,105.0,,1.0,2.0,3.0,5.0,6.0,8.0,13.0,22.0,36.0,94.8,140,,GULF SOUTH TOT AL,,,skip,True,False
ROCKY TOT AL,54 55,57.0,,59.0,20.0,3.0,6.0,10.0,13.0,15.0,17.0,,32.0,48.0,89.8,140,,Stockton,208.0,61.5,low_confidence,True,False
PACIFIC COAST TOTAL,54 57,354.0,,998.0,32.0,2.0,,9.0,14.0,20.0,28.0,39.0,51.0,66.0,91.5,140,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 57,1965.0,,998.0,26.0,2.0,4.0,7.0,11.0,16.0,22.0,33.0,45.0,65.0,93.0,140,,PACIFIC COAST TOTAL,,,skip,True,False
