Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Col_17,Col_18,Col_19,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
JERSEY CITY N J,1,56,1.0,80.0,343.0,176.0,105.0,134.0,140.0,154.0,171.0,183.0,195.0,201.0,236.0,,,,92.5,1,,nan,,0.0,unmatched,False,False
JERSEY CITY N J,1,57,26.0,99.0,3112.0,166.0,111.0,123.0,132.0,139.0,,171.0,183.0,201.0,,,,,87.3,1,,nan,,0.0,unmatched,False,False
JERSEY CITY N J,,54 57,81.0,71.0,343.0,173.0,100.0,1198.0,,145.0,165.0,182.0,199.0,221.0,261.0,,,,89.5,1,,nan,,0.0,unmatched,True,False
EAST ORANGE WN J,1,57,20.0,,366.0,,29.0,,,,123.0,145.0,,166.0,201.0,,,,91.8,2,,East Orange,29.0,96.8,high_confidence,False,False
NEWARK N J,1,57,18.0,55.0,340.0,139.0,65.0,89.0,94.0,105.0,114.0,123.0,158.0,,201.0,,,,94.2,2,,Newark,20.0,100.0,exact,False,False
NEW YORK N Y,1,57,25.0,94.0,330.0,197.0,105.0,138.0,155.0,166.0,186.0,201.0,227.0,278.0,315.0,,,,94.3,2,,New York,30.0,100.0,exact,False,False
NEW YORK N Y,2,53,3.0,184.0,642.0,371.0,,201.0,201.0,201.0,327.0,327.0,327.0,327.0,737.0,,,,94.5,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,2,54,30.0,145.0,399.0,241.0,171.0,194.0,208.0,219.0,229.0,243.0,264.0,290.0,327.0,,,,94.7,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,2,55,40.0,93.0,466.0,236.0,123.0,14121.0,,195.0,227.0,254.0,278.0,334.0,363.0,,,,92.1,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,2,56,32.0,120.0,346.0,223.0,134.0,179.0,204.0,211.0,219.0,226.0,234.0,268.0,327.0,,,,93.2,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,2,53,105.0,93.0,642.0,237.0,136.0,173.0,195.0,210.0,224.0,238.0,263.0,303.0,349.0,,,,95.2,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,3,53,3.0,87.0,146.0,110.0,,,89.0,89.0,105.0,105.0,105.0,105.0,171.0,,,,94.2,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,3,54,36.0,79.0,350.0,180.0,97.0,112.0,130.0,151.0,162.0,171.0,195.0,264.0,298.0,,,,93.7,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,3,55,38.0,44.0,335.0,161.0,83.0,97.0,105.0,145.0,160.0,176.0,196.0,219.0,257.0,,,,92.7,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,3,56,26.0,71.0,379.0,192.0,89.0,100.0,145.0,154.0,,186.0,250.0,278.0,356.0,,,,92.8,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,3,53 56,103.0,44.0,379.0,174.0,87.0,101.0,126.0,150.0,161.0,173.0,196.0,249.0,299.0,,,,93.8,2,,nan,,0.0,unmatched,True,False
NEW YORK N Y,4,54,2.0,162.0,164.0,163.0,,,158.0,158.0,158.0,158.0,158.0,171.0,171.0,,,,95.2,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,4,55,24.0,44.0,238.0,136.0,68.0,76.0,105.0,123.0,134.0,145.0,165.0,,219.0,,,,95.3,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,4,54 55,26.0,44.0,238.0,138.0,71.0,76.0,111.0,123.0,140.0,154.0,162.0,181.0,2014.0,,,,93.2,2,,nan,,0.0,unmatched,True,False
NEW YORK N Y,,,6.0,87.0,642.0,241.0,,89.0,105.0,105.0,171.0,201.0,201.0,327.0,327.0,,,,94.9,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,,54,68.0,79.0,399.0,205.0,112.0,145.0,159.0,174.0,198.0,217.0,241.0,273.0,311.0,,,,92.9,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,,55,102.0,44.0,466.0,185.0,89.0,105.0,131.0,151.0,169.0,190.0,219.0,257.0,327.0,,,,95.1,2,,nan,,0.0,unmatched,False,False
