Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
COLORADO TOTAL,54,23.0,,70.0,11.0,,1.0,3.0,3.0,6.0,8.0,10.0,10.0,30.0,94.7,116,state_total,COLORADO TOTAL,,,state_aggregate,False,False
UTAH TOTAL,54 55,26.0,,20.0,3.0,,,1.0,1.0,1.0,3.0,4.0,5.0,5.0,93.3,116,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,13.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,94.0,116,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,55 56,107.0,,7.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,90.1,116,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54,20.0,,20.0,6.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,8.0,10.0,94.7,116,state_total,OREGON TOTAL,,,state_aggregate,False,False
WASHINGTON TOTAL,57,20.0,,10.0,,,,,,1.0,1.0,1.0,1.0,1.0,92.5,116,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLND TOT AL,55 56,85.0,,70.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,8.0,92.7,116,,NEW ENGLND TOT AL,,0.0,unmatched,True,False
MIO ATLANTC TOT AL,54 56,424.0,,140.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,93.3,116,,MIO ATLANTC TOT AL,,0.0,unmatched,True,False
MID EAST TOTAL,54 57,113.0,,38.0,4.0,,1.0,1.0,2.0,2.0,3.0,4.0,5.0,8.0,95.4,116,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,55 56,69.0,,30.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,89.2,116,,SOUTH EAST TOT AL,,,skip,True,False
MID WEST TOTAL,55 57,246.0,,199.0,9.0,1.0,2.0,2.0,3.0,4.0,6.0,9.0,10.0,21.0,90.6,116,region_total,MID WEST TOTAL,,,skip,True,False
GRT PLAINS TOT AL,54 56,71.0,,30.0,4.0,,1.0,1.0,2.0,2.0,3.0,4.0,5.0,8.0,92.2,116,,GRT PLAINS TOT AL,,0.0,unmatched,True,False
GULF SOUTH TOT AL,54 55,165.0,,99.0,5.0,,,1.0,1.0,1.0,2.0,,2.0,4.0,89.2,116,,GULF SOUTH TOT AL,,,skip,True,False
ROCKY MNTN TOT AL,54 55,49.0,,70.0,6.0,,1.0,1.0,2.0,3.0,4.0,5.0,9.0,20.0,93.9,116,,ROCKY MNTN TOT AL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,54 57,160.0,,20.0,2.0,,,1.0,1.0,1.0,2.0,2.0,3.0,5.0,94.7,116,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,54 57,1382.0,,599.0,5.0,,1.0,1.0,2.0,2.0,3.0,3.0,5.0,9.0,93.8,116,,PACIFIC COAST TOTAL,,,skip,True,False
