Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
AVERAGE,,,,,,38,24,37,32,89,73,10,11,,,95.6,60
MINIMUM,,,,,,7,24,4,12,63,68,,8,,,86.6,60
UT tCA NY,57,,,,,,,,,,,,,,,71.5,60
NUMBER OF SAMPLES,,,,,,2,1,3,1,3,2,2,2,,,95.5,60
MAXIMUM,,,,,,12,30,268,12,49,91,13,11,,,92.7,60
AVERAGE,,,,,,10,30,99,12,28,65,10,9,,,95.3,60
MINIMUM,,,,,,8,30,15,12,18,40,8,8,,,94.1,60
PH PA,53 57,,,,,,,,,,,,,,,91.0,60
NUMBER OF SAMPLES,,2i,26,22,29,21,19,11,11,18,17,29,34,,,92.3,60
MAXIMUM,,16,,39,912,544,22,223,20,39,53,37,29,,,93.2,60
AVERAGE,,,7,10,56,49,8,28,4,1,15,14,,,,92.9,60
MINIMUM,,,,,1,,1,2,1,,3,,,,,87.0,60
TTSBURGH PA,,,,,,,,,,,,,,,,93.0,60
NUMBER OF SAMPLES,,,,,,2,3,2,2,2,2,2,2,,,92.5,60
MAXIMUM,,,,,,130,65,95,228,930,62,15,10,,,94.9,60
AVERAGE,,,,,,86,35,55,124,479,Si,13,3,,,87.6,60
MINIMUM,,,,,,43,19,16,20,28,40,11,7,,,87.1,60
AL LENTOWN PA,57,,,,,,,,,,,,,,,94.0,60
NUMBER OF SAMPLES,,,,,,3,2,2,3,1,3,1,3,,,93.2,60
MAXIMUM,,,,,,26,43,30,13,79,19,12,20,,,92.1,60
AVERAGE,,,,,,21,24,19,11,79,13,12,11,,,92.7,60
MINEMUM,,,,,,13,6,8,8,79,,12,4,,,94.4,60
Jo HNSTOWN PA,,,,,,,,,,,,,,,,84.3,60
NUMBER OF SAMPLES,,,,,,1,3,1,2,1,1,1,,,,92.1,60
MAXIMUM,,,,,,43,a1,14,119,127,61,10,,,,91.6,60
AVERAGE,,,,,,43,14,14,69,127,61,10,,,,95.1,60
MINIMUM,,,,,,43,4,14,19,127,61,10,,,,92.2,60
LA NCASTER PA,,,,,,,,,,,,,,,,93.3,60
NUMBER OF SAMPLES,,,,,,1,2,2,2,2,1,,,,,94.7,60
MAXIMUM,,,,,,30,34,41,468,314,47,,,,,95.1,60
AVERAGE,,,,,,30,25,25,244,169,47,,,,,95.7,60
,,,,,,30,17,9,20,24,47,,,,,95.5,60
sc RANTON PA,97,,,,,,,,,,,,,,,85.0,60
NUMBER OF SAMPLES,,,,,,2,2,,2,2,3,2,,,,95.0,60
,,,,,,60,188,,42,96,65,17,31,,,95.1,60
AVERAGE,,,,,,39,111,42,29,61,58,12,21,,,94.6,60
MI NEMUM,,,,,,18,34,42,16,26,47,,,,,77.9,60
WA SHINGTON vc,53 57,,,,,,,,,,,,,,,85.2,60
NUMBER OF SAMPLES,,,11,13,13,14,15,11,16,10,13,11,10,,,94.3,60
MAXIMUM,,35,29,46,Si,39,163,25,93,41,98,1a,16,,,91.8,60
AVERAGE,,12,9,20,16,20,20,9,15,19,29,8,6,,,93.2,60
MINIMUM,,,1,,1,2,1,5,2,2,,2,1,,,91.1,60
LOUISVILLE KY,54 57,,,,,,,,,,,,,,,90.0,61
NUMBER OF SAMPLES,,3,4,1,6,5,,13,13,,6,1,10,,,91.4,61
MAXIMUM,,28,17,le,11,64,31,65,41,728,316,50,51,,,88.6,61
AVERAGE,,138,8,12,3,21,12,10,8,130,84,50,14,,,90.2,61
MIN I MUM,,3,3,12,1,4,3,1,1,5,12,590,3,,,87.6,61
BA LTIMORE MD,57,,,,,,,,,,,,,,,84.0,61
NUMBER OF SAMPLES,,2,2,,2,1,3,2,3,2,2,2,2,,,95.1,61
MAX I MUM,,18,17,,57,22,53,69,148,28,62,19,14,,,91.1,61
AVERAGE,,17,13,,34,22,29,53,64,28,41,16,9,,,92.8,61
MIN MUM,,17,10,,12,22,15s,38,20,28,20,13,4,,,91.9,61
CH ARLOTTE NC,57,,,,,,,,,,,,,,,91.5,61
NUMBER OF SAMPLES,,,,,,2,3,2,2,2,,2,3,,,95.8,61
MAX t MUM,,,,,,45,20,45,234,63,102,21,20,,,94.1,61
AVERAGE,,,,,,30,16,33,137,48,102,16,15,,,94.4,61
MIN I MUM,,,,,,15,11,21,41,34,102,12,11,,,87.4,61
wl NSTON SALEM NC,57,,,,,,,,,,,,,,,87.2,61
NUMBER OF SAMPLES,,,,,,2,2,2,3,1,3,2,2,,,91.6,61
MAX MUM,,,,,,23,26,109,106,8,31,16,13,,,95.7,61
AVERAGE,,,,,,23,25,61,50,8,ai,11,11,,,87.8,61
MIN MUM,,,,,,23,24,14,18,8,15,6,10,,,93.7,61
SA N JUAN PUERTO Rico,57,,,,,,,,,,,,,,,79.7,61
NUMBER OF SAMPLES,,,,,,,2,2,2,2,3,2,1,,,95.0,61
MAX MUM,,,,,,,12,23,50,58,29,7,is,,,92.7,61
AVERAGE,,,,,,,9,22,29,42,14,6,is,,,93.2,61
MIN t MUM,,,,,,,6,22,9,27,6,5,1g,,,83.5,61
NORFOLK VA,57,,,,,,,,,,,,,,,85.0,61
NUMBER OF SAMPLES,,,,,,,2,3,1,2,1,3,2,,,95.7,61
MAX I MUM,,,,,,30,115,98,7,59,15,22,,,,89.5,61
AVERAGE,,,,,,24,79,47,7,46,15,14,14,,,94.9,61
MIN MUM,,,,,,19,44,20,7,33,15,3,10,,,94.1,61
RI CHMOND VA,,,,,,,,,,,,,,,,74.3,61
NUMBER OF SAMPLES,,,,,,2,2,2,2,2,3,1,3,,,93.5,61
MAX I MUM,,,,,,94,243,155,45,55,90,17,29,,,91.1,61
AVERAGE,,,,,,61,124,88,30,47,45,17,21,,,94.6,61
MIN MUM,,,,,,29,6,22,16,39,16,17,17,,,93.0,61
CH ARLESTON W VA,53 57,,,,,,,,,,,,,,,80.8,61
NUMBER OF SAMPLES,,3,,2,5,6,5,6,4,6,8,6,15,,,92.6,61
MAX 1 MUM,,4,,7,14,52,38,28,23,323,62,14,30,,,91.1,61
AVERAGE,,1,,4,6,18,14,11,10,66,18,8,13,,,94.4,61
MIN MUM,,,,1,2,1,3,,2,3,3,3,,,,95.1,61
WHEEL 1 NG W VA,,,,,,,,,,,,,,,,70.0,61
NUMBER OF SAMPLES,,,,,,1,2,1,2,2,2,,2,,,95.3,61
MAX t MUM,,,,,,55,33,16,23,826,96,23,17,,,87.3,61
AVERAGE,,,,,,55,32,16,18,431,64,15,16,,,94.6,61
MIN MUM,,,,,,55,32,16,13,36,33,7,16,,,91.4,61
Bt RMINGHAM ALA,57,,,,,,,,,,,,,,,81.2,61
NUMBER OF SAMPLES,,,,,,3,2,2,1,2,3,1,,,,94.6,61
MAX MUM,,,,,,61,43,234,59,146,67,15,,,,95.1,61
AVERAGE,,,,,,27,30,140,59,85,39,15,,,,93.2,61
MIN 1 MUM,,,,,,6,18,46,,25,13,15,,,,84.6,61
TA MPA FLA,53 57,,,,,,,,,,,,,,,94.4,61
NUMBER OF SAMPLES,,14,10,,,10,10,13,14,10,8,11,15,,,94.1,61
MAX I MUM,,64,32,43,119,130,476,137,431,124,658,74,67,,,90.5,61
AVERAGE,,16,8,15,31,36,60,24,37,21,152,27,14,,,95.2,61
MIN MUM,,,,1,2,6,4,2,,,,2,,,,93.8,61
MI AMI FLA,,,,,,,,,,,,,,,,80.7,61
NUMBER OF SAMPLES,,2,2,1,2,3,1,3,2,2,2,3,2,,,95.6,61
MAX 1 MUM,,14,4,26,14,42,22,72,41,340,56,46,19,,,88.8,61
AVERAGE,,9,4,26,10,26,22,39,24,183,36,31,14,,,92.0,61
MIN I MUM,,5,4,26,6,18,22,20,7,26,17,14,9,,,88.9,61
ATLANTA GA,,,,,,,,,,,,,,,,95.5,61
NUMBER OF SAMPLES,,10,13,9,7,6,10,7,8,5,6,,11,,,92.3,61
MAX MUM,,51,104,69,533,112,115,238,92,196,97,24,47,,,93.6,61
AVERAGE,,8,14,ig,113,30,34,45,21,70,45,14,19,,,92.5,61
MIN MUM,,,,1,5,3,7,2,2,,6,,1,,,94.0,61
COLUMBUS GA,57,,,,,,,,,,,,,,,90.3,61
NUMBER OF SAMPLES,,,,,1,3,2,2,2,2,3,2,2,,,95.5,61
MAX 1 MUM,,,,,,69,9,52,2i,167,61,36,29,,,88.0,61
AVERAGE,,,,,lei,43,6,41,19,94,58,23,26,,,92.2,61
MIN t MUM,,,,,121,24,4,30,18,22,,10,24,,,89.0,61
JACKSON MISS,57,,,,,,,,,,,,,,,93.3,61
NUMBER OF SAMPLES,,,,,,2,1,3,3,1,3,2,1,,,94.9,61
MAX i MUM,,,,,,12,B88,102,441,17,S62,16,15,,,85.8,61
AVERAGE,,,,,,11,88,54,173,17,340,12,15,,,94.9,61
MIN MUM,,,,,,10,88,17,19,17,20,8,is,,,91.4,61
COLUMBIA SC,57,,,,,,,,,,,,,,,66.7,62
NUMBER OF SAMPLES,,,,,,2,3,2,3,,,3,1,,,91.9,62
MAXIMUM,,,,,,69,170,98,71,42,77,30,15,,,94.1,62
AVERAGE,,,,,,59,83,78,37,42,73,18,15,,,95.2,62
MINUEMUM,,,,,,49,11,58,16,42,69,2,15,,,91.1,62
GREENVILLE SC,57,,,,,,,,,,,,,,,92.0,62
NUMBER OF SAMPLES,,,,,,3,3,3,2,3,2,2,2,,,95.5,62
MAXIMUM,,,,,,54,685,247,63,475,70,26,19,,,93.8,62
AVERAGE,,,,,,34,241,100,,192,66,19,17,,,95.1,62
MIN I MUM,,,,,,12,9,23,39,31,62,12,16,,,83.7,62
CHATTA NOOGA TENN,,,,,,,,,,,,,,,,90.3,62
NUMB ER OF SAMPLES,,14,5,3,5,,5,8,9,4,2,2,3,,,94.0,62
MAX MUM,,41,53,12,116,S27,48,481,55,,90,105,21,,,90.3,62
AVER AGE,,7,15,3,34,134,21,94,15,212,87,53,16,,,90.4,62
MIEN I MUM,,2,3,6,1,27,11,1,,3,84,2,10,,,87.9,62
LLE TENN,57,,,,,,,,,,,,,,,93.7,62
NUMB ER OF SAMPLES,,,,,,,3,2,2,3,,2,3,,,94.5,62
MAX 1 MUM,,,,,,44,2717,88,32,230,,16,14,,,89.2,62
AVER AGE,,,,,,44,913,58,28,119,,13,11,,,91.1,62
MIR MUM,,,,,,44,8,29,24,52,,,,,,90.4,62
NASHY t LLE TENN,57,,,,,,,,,,,,,,,74.0,62
NUMB ER OF SAMPLES,,,,1,,3,2,2,2,3,2,2,2,,,93.4,62
MAX t MUM,,,,9,,61,28,26,27,145,57,2i,14,,,85.0,62
AVER AGE,,,,9,,38,19,24,20,83,39,14,11,,,93.7,62
MIN I MUM,,,,9,,21,10,23,13,40,22,7,9,,,88.0,62
CH 1CAGO PELL,54 57,,,,,,,,,,,,,,,75.4,62
NUMBER OF SAMPLES,,14,10,12,8,13,24,26,23,19,10,15,20,,,93.8,62
MAX MUM,,56,29,385,99,669,23,11,8,58,26,49,49,,,93.6,62
AVER AGE,,13,,73,27,69,9,4,3,ii,15,20,18,,,91.5,62
MIN MUM,,2,2,1,3,,,1,1,,2,,1,,,89.6,62
RINGFIELU POEL,57,,,,,,,,,,,,,,,70.3,62
NUMBER OF SAMPLES,,,,,,2,1,3,1,2,2,1,3,,,94.5,62
MAX 1 MUM,,,,,,27,50,188,T21,109,25,12,21,,,84.5,62
AVERAGE,,,,,,24,530,111,,56,17,12,16,,,91.1,62
MIN MUM,,,,,,21,50,17,,4,10,12,9,,,91.7,62
EA ST Cc HICAGO IND,55,,,,,,,,,,,,,,,74.2,62
NUMB ER OF SAMPLES,,,,4,5,14,5,10,6,3,10,6,5,,,92.4,62
MAX I MUM,,,,13,38,61,26,296,61,39,252,35,69,,,89.8,62
AVERAGE,,,,10,27,30,22,68,26,31,83,19,23,,,94.5,62
MIN I MUM,,,,3,16,5,18,8,16,21,7,4,6,,,85.0,62
Ev ANSV IND,,,,,,,,,,,,,,,,76.0,62
NUMBER OF SAMPLES,,,,,,3,2,2,2,2,2,1,3,,,94.7,62
MAX I MUM,,,,,,44,38,148,26,18,64,3,20,,,90.8,62
AVERAGE,,,,,,21,28,105,23,16,41,3,19,,,94.2,62
MIN I MUM,,,,,,6,19,63,20,14,19,3,18,,,88.5,62
FO RT WAYNE IND,57,,,,,,,,,,,,,,,90.8,62
NUM BER OF SAMPLES,,,,,,2,2,3,1,2,4,3,2,,,95.5,62
MAX 1 MUM,,,,,,32,31,486,19,65,81,15,24,,,91.0,62
AVE RAGE,,,,,,27,23,173,19,61,46,8,20,,,94.9,62
MIN I MUM,,,,,,23,16,12,,58,29,4,16,,,86.8,62
nw OLA NAPOLIS IND,57,,,,,,,,,,,,,,,65.6,62
NUM BER OF SAMPLES,,,,,,3,2,2,3,2,4,2,2,,,95.2,62
MAX MUM,,,,,,668,44,39,418,57,155,25,268,,,84.1,62
AVE RAGE,,,,,,49,31,27,202,48,74,14,20,,,94.0,62
MIN I MUM,,,,,,31,,16,58,40,39,6,13,,,85.3,62
DETRO T MICH,53,,,,,,,,,,,,,,,85.5,62
NUM BER OF SAMPLES,,,4,3,4,4,5,2,3,3,2,35,4,,,93.5,62
MAX I MUM,,,1,2,11,60,26,5,45,114,100,8,22,,,90.4,62
AVE RAGE,,,,1,3,21,13,4,39,47,60,1,22,,,93.8,62
MEN MUM,,,,1,1,,8,3,32,4,21,,22,,,92.2,62
KA LAM A Z00 MICH,57,,,,,,,,,,,,,,,88.3,62
NUM BER OF SAMPLES,,,,,,2,2,2,2,2,1,3,2,,,94.3,62
MAX MUM,,,,,,36,13,250,16,706,6,16,14,,,93.3,62
AVE RAGE,,,,,,35,11,140,14,361,6,13,11,,,94.6,62
MitoN MUM,,,,,,30,10,31,12,16,6,,8,,,83.4,62
LA NS ENG MICH,57,,,,,,,,,,,,,,,77.0,62
NUM BER OF SAMPLES,,,,,,3,2,2,3,1,2,2,2,,,95.8,62
"MAX I MUM,",,,,,,33,31,179,47,48,65,13,11,,,87.1,62
AVE RAGE,,,,,,25,30,99,23,48,39,11,10,,,93.9,62
MEN 1 MUM,,,,,,13,29,20,11,48,i3,10,10,,,87.3,62
FL PNT MICH,57,,,,,,,,,,,,,,,84.2,62
NUM BER OF SAMPLES,,,,,,1,2,3,2,2,3,2,2,,,95.8,62
MAX 1 mUM,,,,,,20,38,54,362,43,46,28,17,,,85.5,62
AVE RAGE,,,,,,20,33,28,188,36,34,22,13,,,94.1,62
MIN,,,,,,20,29,14,15,30,24,16,9,,,89.2,62
ct WCEANATI OHIO,53 S7,,,,,,,,,,,,,,,74.0,62
NUMBER OF SAMPLES,,23,26,76,34,29,28,27,,32,23,33,35,,,95.1,62
MAXIMUM,,35,29,107,54,64,42,73,17,219,107,32,34,,,93.6,62
AVERAGE,,5,6,7,11,10,10,10,4,20,16,8,11,,,92.6,62
,,,,,,,1,2,1,2,1,,,,,92.2,62
YOUNGSTOWN,,,,,,,,,,,,,,,,94.0,63
NUMBER OF SAMPLES,,,,,,28,15,32,17,1067,119,Py,,,,83.5,63
MAX I MUM,,,,,,,,,,,,,7,,,81.8,63
AVER AGE,,,,,,16,15,i8,15,,77,18,6,,,91.3,63
MUN MUM,,,,,,3,15,11,14,427,35,9,,,,92.7,63
CA NTON OHIO,57,,,,,,,,,,,,,,,89.0,63
NUMBER OF SAMPLES,,,,,,3,1,3,3,1,2,2,3,,,92.0,63
MAX t MUM,,,,,,75,48,17,67,23,25,23,27,,,93.3,63
AVER AGE,,,,,,48,48,15,31,23,24,18,1g,,,92.7,63
MIN i MUM,,,,,,6,48,14,1i,23,24,13,8,,,84.9,63
CL EVEL AND,57,,,,,,,,,,,,,,,78.5,63
NUMB ER OF SAMPLES,,,,,,3,2,2,2,2,2,3,2,,,95.1,63
MAX I MUM,,,,,,49,2i,30,28,1050,50,28,22,,,86.8,63
AVER AGE,,,,,,41,18,26,2i,,47,21,20,,,89.9,63
MIN MUM,,,,,,37,16,23,14,31,45,12,19,,,94.7,63
COLUMB US OHIO,37,,,,,,,,,,,,,,,84.8,63
NUMBER OF SAMPLES,,,,,,2,2,2,2,3,4,3,2,,,94.5,63
MAX 1 MUM,,,,,,52,29,134,65,205,74,33,31,,,91.4,63
AVERAGE,,,,,,40,24,120,52,120,54,19,24,,,93.7,63
MEN I MUM,,,,,,28,19,106,40,47,41,4,17,,,90.8,63
TO LEDO OHIO,57,,,,,,,,,,,,,,,90.8,63
NUMBER OF SAMPLES,,,,,,2,2,1,2,3,2,2,2,,,94.6,63
MAX I MUM,,,,,,63,23,32,501,45,49,14,13,,,92.5,63
AVERAGE,,,,,,38,,32,256,35,44,13,8,,,89.4,63
MIN I MUM,,,,,,14,19,32,11,21,39,13,4,,,89.3,63
Lo RAIN OHIO,,,,,,,,,,,,,,,,86.7,63
NUMB ER OF SAMPLES,,,,,,2,3,1,2,2,3,2,2,,,94.9,63
MAX MUM,,,,,,73,42,16,16,1179,74,22,25,,,93.2,63
AVERAGE,,,,,,61,38,16,15,S97,,15,19,,,93.5,63
MIN 1 MUM,,,,,,44,34,16,14,15,28,8,14,,,85.2,63
Mi LWAUKEE wis,57,,,,,,,,,,,,,,,78.2,63
NUMBER OF SAMPLES,,,,,2,2,1,,2,2,3,2,2,,,95.3,63
MAX I MUM,,,,,125,37,10,129,493,38,34,,13,,,90.6,63
AVERAGE,,,,,85,27,10,110,252,31,27,7,9,,,93.5,63
MIN I MUM,,,,,45,17,10,91,12,25,,3,5,,,87.5,63
RA CINE wis,57,,,,,,,,,,,,,,,82.8,63
NUMB ER OF SAMPLES,,,,,,2,2,2,2,1,2,2,2,,,94.9,63
MAX MUM,,,,,,25,,29,28,215,,11,27,,,95.0,63
AVER AGE,,,,,,24,18,20,20,215,125,10,16,,,95.1,63
MIN MUM,,,,,,24,16,12,13,215,20,9,6,,,91.3,63
DES MOINES,57,,,,,,,,,,,,,,,83.7,63
NUMBER OF SAMPLES,,,,,,3,2,2,2,2,2,2,3,,,95.6,63
MAX 1 MUM,,,,,,86,705,143,28,374,115,27,15,,,89.0,63
AVERAGE,,,,,,47,363,80,24,197,78,22,12,,,93.6,63
MIN MUM,,,,,,16,21,18,,20,41,18,,,,90.1,63
KA NSAS city KANSAS,55 57,,,,,,,,,,,,,,,80.5,63
NUMBER OF SAMPLES,,,,1,,7,1,,1,,,,,,,92.0,63
MAX MUM,,,12,10,,73,158,,5,,,,,,,91.7,63
AVERAGE,,,12,10,,42,158,,5,,,,,,,94.0,63
MIN MUM,,,12,10,,20,158,,5,,,,,,,86.0,63
wil CHITA KANSAS,57,,,,,,,,,,,,,,,90.8,63
NUMBER OF SAMPLES,,,,,,1,,3,2,,2,3,2,,,95.4,63
MAX I MUM,,,,,,40,50,3240,106,ii,405,9,22,,,86.5,63
AVERAGE,,,,,,40,27,1146,69,11,231,7,1s,,,90.3,63
MIN I MU ta,,,,,,40,16,79,33,11,57,5,14,,,87.7,63
Md NNEA POLIS MINN,53 57,,,,,,,,,,,,,,,76.3,63
NUMBER OF SAMPLES,,10,10,12,12,14,14,13,25,13,17,16,13,,,92.8,63
MAX MUM,,,16,63,20,61,35,468,258,92,57,20,30,,,94.6,63
AVERAGE,,,,13,9,19,13,43,18,20,is,6,10,,,89.3,63
MON I MUM,,,,1,,1,3,2,2,,1,1,,,,84.7,63
