Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
OHIO TOTAL,53 57,493,,1179,23,1,,2,4,7,11,17,23,37,,,91.9,55
WISCONSIN FOTAL,57,33,3,493,55,6,11,14,18,23,28,33,42,145,,,93.1,55
1OwaA TOTAL,57,16,3,705,95,14,16,18,20,26,33,42,88,145,,,87.9,55
KANSAS TOTAL,55 57,28,5,3240,168,7,11,15,19,26,42,64,79,145,,,93.2,55
MINNESOTA TOTAL,53 57,196,,468,19,1,2,4,6,10,11,15,19,38,,,95.1,55
MISSOURI TOTAL,57,144,,1201,41,1,3,4,9,12,16,25,35,30,,,92.0,55
NEBRASKA TOTAL,57,34,2,278,50,6,10,12,19,24,32,42,69,145,,,93.3,55
NORTH DAKOTA TOTAL,57,16,7,331,64,14,15,18,20,38,42,59,69,88,,,94.4,55
SOUTH DAKOTA TOTAL,57,i7,10,549,726,12,13,14,15,20,30,88,105,113,,,92.1,55
ARKANSAS TOTAL,57,17,10,713,75,ii,11,14,18,33,36,42,69,88,,,92.5,55
LOUISIANA TOTAL,54 57,156,,1427,37,2,4,6,8,,19,26,40,66,,,91.6,55
NEW MEXICO TOTAL,57,15,3,S75,119,14,15,18,20,33,79,1 13,166,572,,,88.9,55
OKLAHOMA TOTAL,57,14,io,535,81,10,11,11,20,33,38,88,113,145,,,92.7,55
TEXAS TOTAL,53 57,435,,1931,48,1,3,5,8,12,16,23,33,62,,,93.0,55
COLORADO TOTAL,54 57,103,1,1592,70,2,5,9,13,17,22,31,49,129,,,95.1,55
1DAHO TOTAL,57,i7,6,1423,152,7,14,18,26,33,38,88,134,145,,,92.4,55
MONTANA TOTAL,57,18,7,241,42,8,11,,20,27,30,33,42,38,,,88.7,55
UTAH TOTAL,53 57,76,,4350,827,3,5,7,12,18,29,40,54,85,,,93.1,55
WYOMING TOTAL,537,23,2,2337,300,2,15,24,33,50,69,88,305,353,,,92.4,55
ALASKA TOTAL,53 57,104,,110,7,,1,1,2,2,4,6,10,15,,,92.8,55
ARIZONA TOTAL,57,16,15,7319,670,20,26,30,38,48,62,88,129,305,,,93.9,55
CALIFORNIA TOTAL,53 57,398,,3500,25,1,2,3,6,9,13,19,27,42,,,93.8,55
HAWAT I TOTAL,56 57,49,2,,18,4,5,6,8,14,18,24,31,42,,,93.8,55
NEVADA TOTAL,,18,15,3800,436,,26,28,33,39,54,1 13,305,642,,,94.7,55
OREGON TOTAL,53,175,,186,13,,1,1,2,,8,11,16,35,,,93.5,55
WASHINGTON TOTAL,57,24,2,79,14,2,3,4,8,9,12,16,19,30,,,94.5,55
NEW ENGLND TOTA,,279,,588,33,3,7,10,12,,18,,,69,,,90.2,56
MIO ATUNTC TOT AL,57,,,930,31,1,4,7,9,12,16,,30,53,,,91.9,56
Mid EAST TOTAL,53 57,406,,826,26,2,4,6,9,13,17,22,30,48,,,91.1,56
SQUTH EAST TOT AL,53,445,,2717,45,1,3,6,9,13,19,26,43,a2,,,93.1,56
MID WEST TOTAL,53,991,,1179,27,1,,4,,10,15,20,28,47,,,90.6,56
GRT PLAINS TOT AL,53 57,453,,3240,44,1,3,6,10,13,17,24,37,,,,93.8,56
GULF SOUTH TOT AL,33 57,637,,1931,49,2,3,6,9,13,17,25,37,77,,,91.8,56
ROCKY MNTN TOT AL,53 57,237,,54350,339,3,6,11,,20,29,41,67,1 a9,,,92.1,56
PAC COAST TOTAL,53 57,786,,7319,43,1,1,3,4,,il,16,25,41,,,91.6,56
GRAND TOTAL,53 57,4845,,54350,52,1,3,5,8,,16,,33,9,,,92.4,56
