Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
AVERAGE,,,10,,7,2,6,10,6,12,2,,12,,,91.6,142
MINT MUM,,,10,,4,,2,1,2,4,2,,12,,,84.7,142
ERTE PA,56,,,,,,,,,,,,,,,88.3,142
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,,,,94.6,142
MAXIMUM,,6,2,4,8,2,,4,,18,12,17,12,,,94.5,142
AVERAGE,,3,2,3,3,2,,4,,9,,11,7,,,95.6,142
Mini MUM,,,2,2,,2,,4,,3,,6,4,,,81.9,142
PITTSBURGH PA,56,,,,,,,,,,,,,,,88.3,142
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,,1,,,93.7,142
MAXIMUM,,31,38,89,,,30,2,,50,55,160,32,,,84.7,142
AVERAGE,,21,18,59,,,22,1,,43,39,91,32,,,93.3,142
MINIMUM,,11,4,28,,,18,,,36,23,22,32,,,91.8,142
WILLIAMSPORT PA,55,,,,,,,,,,,,,,,65.3,143
NUMBER OF SAMPLES,,,,34,,,,43,at,36,,13,2,,,89.1,143
MAXIMUM,,,,,,,4,,,,8,,6,,,78.8,143
AVERAGE,,,37,34,24,24,3,44,21,26,5,9,5,,,94.8,143
MINIMUM,,,9,34,21,10,2,44,21,15,3,6,5,,,89.2,143
WASHINGTON OC,54 56,,,,,,,,,,,,,,,84.8,143
NUMBER OF SAMPLES,,,6,1,,6,6,4,7,6,3,1,,,,94.9,143
MAXIMUM,,20,61,50,101,74,78,77,69,72,59,4,,,,91.8,143
AVERAGE,,20,31,50,50,29,46,50,35,44,44,4,,,,94.5,143
MINIMUM,,20,8,50,7,2,8,13,3,10,15,4,,,,87.0,143
LOUISVIGLE KY,54 55,,,,,,,,,,,,,,,72.2,143
NUMBER OF SAMPLES,,2,3,1,6,4,4,13,13,12,6,1,6,,,95.9,143
MAX MU,,12,a1,33,70,110,80,63,36,48,28,5,36,,,87.6,143
AVERAGE,,,9,33,43,78,30,15,13,16,9,5,12,,,94.8,143
MIN 1 MUM,,3,4,33,4,38,7,,,2,4,5,2,,,89.6,143
BALTIMORE MD,57,,,,,,,,,,,,,,,88.3,143
NUMBER OF SAMPLES,,1,2,2,3,1,3,2,3,1,,,,,,95.2,143
MAX MUM,,25,26,31,130,14,30,26,54,24,,,,,,95.2,143
AVERAGE,,25,24,27,55,14,25,22,29,24,,,,,,94.8,143
MIN MUM,,25,22,24,12,14,20,18,13,24,,,,,,91.0,143
CHARLESTON W VA,54 55,,,,,,,,,,,,,,,90.2,143
NUMBER OF SAMPLES,,,1,3,5,5,3,2,1,1,3,2,1,,,93.4,143
MAX MUM,,,15,81,79,72,,4,22,13,12,2,15,,,92.2,143
AVERAGE,,,15,50,53,38,25,4,22,13,6,1,15,,,93.3,143
MIN I MUM,,,15,5,34,3,2,4,22,13,4,,15,,,90.2,143
TAMPA FLA,54 55,,,,,,,,,,,,,,,91.5,143
NUMBER OF SAMPLES,,2,2,3,5,5,2,2,2,3,1,2,1,,,91.3,143
MAX I MUM,,5,14,30,,35,41,3,20,12,7,2,2,,,90.8,143
AVERAGE,,2,,17,20,19,22,2,14,9,7,2,2,,,95.2,143
MIN t MUM,,,8,,,,4,1,8,5,7,2,2,,,84.7,143
ATLANTA GA,54 56,,,,,,,,,,,,,,,94.0,143
NUMBER OF SAMPLES,,1,3,6,5,3,1,3,1,,1,1,1,,,93.2,143
MAX MUM,,37,12,73,47,64,11,13,11,,62,18,20,,,94.0,143
AVERAGE,,37,8,38,29,37,11,6,11,,62,18,20,,,95.0,143
MIN MUM,,37,3,13,4,4,11,,11,,62,18,20,,,91.2,143
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,87.0,143
NUMBER OF SAMPLES,,1,5,3,2,2,,1,4,4,5,3,2,,,94.9,143
MAX I MUM,,,15,11,5,29,,5,10,27,33,8,30,,,91.6,143
AVERAGE,,,7,9,2,21,,5,5,13,14,5,16,,,94.7,143
MIN 1 MUM,,,,7,,13,,5,3,4,32,2,3,,,88.1,143
CHICAGO MLL,54 55,,,,,,,,,,,,,,,76.5,143
NUMBER OF SAMPLES,,4,7,6,3,12,20,14,9,8,16,13,8,,,94.0,143
MAX MUM,,49,76,30,54,107,155,134,71,62,120,127,103,,,92.1,143
AVERAGE,,21,44,14,32,41,,45,29,36,46,35,54,,,95.0,143
MIN MUM,,3,14,,,3,6,,6,2,4,,29,,,86.6,143
EAST ST LOUIS Hee,56,,,,,,,,,,,,,,,78.6,143
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,3,,,94.5,143
MAX I MUM,,42,23,100,61,44,36,47,39,55,5,28,23,,,92.1,143
AVERAGE,,20,12,61,42,27,31,47,29,25,,23,20,,,95.7,143
MIN MUM,,3,1,23,23,11,24,47,24,6,5,18,18,,,93.7,143
EAST CHICAGO IND,55 36,,,,,,,,,,,,,,,87.6,143
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,8,8,,,93.9,143
MAX MUM,,300,32,98,110,100,99,46,78,60,100,40,120,,,95.8,143
AVERAGE,,60,15,39,45,62,45,24,35,40,50,14,27,,,95.3,143
MIN MUM,,6,3,4,19,36,7,4,11,19,25,3,3,,,90.9,143
DETRO T MICH,53 54,,,,,,,,,,,,,,,85.4,143
NUMBER OF SAMPLES,,,1,3,4,2,1,,,,,20,,,,95.7,143
MAX u MUM,,,22,137,133,112,117,,,,,142,,,,84.4,143
AVERAGE,,,22,130,105,97,117,,,,,61,,,,94.0,143
MIN I MUM,,,22,119,85,83,117,,,,,1,,,,89.0,143
cl NCINNATI OHIO,54 55,,,,,,,,,,,,,,,76.4,143
NUMBER OF SAMPLES,,3,8,43,20,22,19,8,9,12,7,3,6,,,94.3,143
MAX t MUM,,70,47,127,99,,90,68,59,51,89,74,38,,,93.6,143
AVERAGE,,26,19,57,54,45,56,39,32,26,24,36,25,,,93.8,143
WIN I MUM,,2,1,,9,3,i4,3,4,,,10,16,,,88.8,143
YOUNGSTOWN OHIO,57,,,,,,,,,,,,,,,92.0,143
NUMBER OF SAMPLES,,,,1,2,1,1,2,2,1,2,,,,,93.3,143
MAX Muu,,,,75,300,130,24,210,360,25,,,,,,90.8,143
AVERAGE,,,,75,205,130,24,160,300,25,325,,,,,95.2,143
MIN t MUM,,,,75,110,130,24,110,240,25,150,,,,,88.7,143
ul LWAUKEE wis,57,,,,,,,,,,,,,,,79.0,143
NUMBER OF SAMPLES,,2,2,2,3,2,1,2,2,2,1,,,,,94.4,143
MAX MUM,,26,140,46,94,26,,23,24,33,22,,,,,91.6,143
AVERAGE,,22,74,28,SS,21,,21,18,26,22,,,,,90.4,143
MEN t MUM,,18,9,io,30,16,9,19,13,20,22,,,,,93.2,143
ul NNEAPOLIS,54 55,,,,,,,,,,,,,,,80.2,143
NUMBER OF SAMPLES,,1,3,4,5,4,3,,5,4,3,2,,,,94.2,143
MAX I MUM,,9,4,89,68,51,44,,22,17,12,3,10,,,91.3,143
AVERAGE,,9,1,57,48,40,19,,10,13,8,2,10,,,93.9,143
MIN MUM,,9,,15,11,35,6,,5,9,3,4,10,,,92.1,143
KANSAS CITY MO,54 56,,,,,,,,,,,,,,,76.0,144
NUMBER OF SAMPLES,,4,2,8,7,5,3,2,,1,1,1,1,,,94.4,144
MAXIMUM,,34,26,68,61,37,38,,47,14,2,12,34,,,94.1,144
AVERAGE,,19,22,37,29,15,20,4,21,14,2,12,34,,,93.5,144
,,3,18,8,7,1,5,,2,14,2,12,34,,,95.5,144
ST LOUIS MO,55 56,,,,,,,,,,,,,,,81.4,144
NUMBER OF SAMPLES,,2,2,,2,3,2,2,3,1,1,3,2,,,94.6,144
MAXIMUM,,,29,,9,16,14,20,25,18,8,13,29,,,94.4,144
AVERAGE,,i7,17,,8,8,13,12,18,18,8,10,27,,,94.0,144
MINIMUM,,7,5,,8,,13,4,10,18,8,9,26,,,92.0,144
NEW ORLEANS LA,54 55,,,,,,,,,,,,,,,94.0,144
NUMBER OF SAMPLES,,2,3,3,4,6,6,6,4,4,4,,3,,,94.4,144
MAXIMUM,,2,6,2,3,34,40,6,8,13 8,4,6,12,,,90.8,144
AVERAGE,,1,3,1,2,12,15,4,5,,,3,6,,,95.0,144
MINIMUM,,,2,,1,,2,2,3,,3,,,,,85.7,144
FT WORTH TEXAS,54 55,,,,,,,,,,,,,,,87.6,144
NUMBER OF SAMPLES,,2,2,4,4,5,2,2,2,2,2,2,2,,,92.3,144
MAXIMUM,,6,7,105,46,38,18,4,8,10,6,5,20,,,95.0,144
AVERAGE,,5,5,44,19,20,17,3,7,6,6,4,13,,,94.8,144
MINIMUM,,5,3,3,4,3,17,3,6,3,6,4,7,,,94.8,144
HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,91.5,144
NUMBER OF SAMPLES,,1,7,9,5,8,14,7,3,6,6,9,7,,,93.0,144
MAXIMUM,,36,37,85,47,36,68,28,12,26,17,18,61,,,94.5,144
AVERAGE,,38,19,21,13,17,28,7,7,16,,9,17,,,92.1,144
MiNi MUM,,38,4,,,4,,,3,5,3,2,3,,,77.4,144
BELLAIRE TEXAS,54 55,,,,,,,,,,,,,,,90.8,144
NUMBER OF SAMPLES,,3,3,4,2,3,3,2,3,3,4,2,3,,,95.2,144
MAXIMUM,,13,12,9,5,32,49,14,25,12,6,6,13,,,93.1,144
AVERAGE,,5,6,6,3,12,17,9,15,9,4,3,12,,,92.5,144
,,1,1,3,2,2,2,5,8,6,3,1,12,,,94.0,144
OE NVER COL,54 55,,,,,,,,,,,,,,,92.2,144
NUMBER OF SAMPLES,,2,2,2,2,2,5,2,2,2,2,1,2,,,95.1,144
MAXIMUM,,13,3,53,48,15,53,31,14,12,14,15,10,,,93.3,144
AVERAGE,,7,2,44,31,10,32,19,10,9,14,15,5,,,92.3,144
MINIMUM,,,2,35,15,6,3,8,7,7,14,15,,,,94.0,144
SA LT LAKE CITY UTAH,54 55,,,,,,,,,,,,,,,92.0,144
NUMBER OF SAMPLES,,,3,2,2,2,6,2,2,2,2,2,3,,,95.7,144
MAXIMUM,,27,45,29,20,29,59,19,23,17,18,31,15,,,91.8,144
AVERAGE,,13,27,21,15,15,39,14,20,16,13,17,11,,,93.4,144
MINIMUM,,2,18,14,10,2,5,9,17,16,9,4,4,,,94.3,144
AN CHORAGE ALASKA,54 55,,,,,,,,,,,,,,,93.4,144
NUMBER OF SAMPLES,,1,2,4,8,4,7,1,3,3,3,1,3,,,95.3,144
MAXIMUM,,14,13,61,998,183,165,149,1 11,100,96,7,24,,,95.1,144
AVERAGE,,14,6,29,195,115,70,149,58,66,64,7,13,,,95.5,144
MINIMUM,,14,,,2,67,20,149,16,46,4,7,2,,,94.4,144
LOS ANGELES CALIF,54,,,,,,,,,,,,,,,93.2,144
NUMBER OF SAMPLES,,,1,4,4,6,2,2,,,,,,,,92.2,144
MAXIMUM,,,26,114,84,73,66,45,,,,,,,,87.9,144
AVERAGE,,,26,93,68,52,54,44,,,,,,,,93.6,144
MINIMUM,,,26,72,56,36,43,44,,,,,,,,94.6,144
SA N FRANCISCO CALIF,55 56,,,,,,,,,,,,,,,90.8,144
NUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,5,1,,,94.3,144
MAXIMUM,,3,6,3,5,6,8,,1,4,1,3,,,,95.5,144
AVERAGE,,2,5,1,5,5,6,2,1,1,,1,,,,95.9,144
MINIMUM,,,5,,5,4,,,,,,,,,,80.5,144
PA SADENA CALIF,54 56,,,,,,,,,,,,,,,91.8,144
NUMBER OF SAMPLES,,4,5,2,6,5,5,7,2,4,6,,,,,94.9,144
MAXIMUM,,35,32,52,,55,59,38,29,34,53,,,,,88.4,144
AVERAGE,,14,18,31,26,22,35,22,25,18,29,,,,,94.4,144
MIENIMUM,,5,,11,6,,,5,22,8,3,,,,,89.1,144
BE RKELEY CALIF,54 55,,,,,,,,,,,,,,,90.6,144
NUMBER OF SAMPLES,,3,4,,2,2,2,3,2,3,4,5,4,,,94.4,144
,,13,35,,52,49,45,49,10,21,18,42,39,,,94.6,144
AVERAGE,,,22,,45,45,29,26,10,13,10,17,25,,,94.4,144
MINIT MUM,,4,15,,39,42,13,9,10,5,5,6,14,,,83.4,144
SA N JOSE CALIF,54 56,,,,,,,,,,,,,,,93.8,144
NUMBER OF SAMPLES,,4,6,3,2,5,5,,5,6,4,7,6,,,91.9,144
MAXIMUM,,35,38,64,61,51,40,28,27,48,21,19,26,,,92.1,144
AVERAGE,,26,20,23,,22,15,13,23,26,16,9,12,,,94.8,144
MtNiMUuM,,11,7,2,43,5,2,,20,14,9,2,,,,90.0,144
SA N LEANDRO CALIF,55 56,,,,,,,,,,,,,,,91.2,144
NUMBER OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,95.3,144
MAXIMUM,,6,3,8,4,7,19,14,44,10,12,23,2,,,95.5,144
AVERAGE,,2,3,6,4,7,18,10,18,10,10,8,2,,,94.7,144
MINIMUM,,,3,4,4,7,18,7,9,10,6,,2,,,94.5,144
PORTLAND OREGON,54 55,,,,,,,,,,,,,,,95.0,144
NUMBER OF SAMPLES,,1,2,9,4,3,,2,7,5,21,20,,,,94.8,144
MAX,,16,66,71,47,70,,29,36,42,98,86,,,,88.5,144
AVERAGE,,16,61,38,34,96,,22,19,21,40,40,,,,91.5,144
MINIMUM,,16,57,,1,43,,16,,6,6,16,,,,92.7,144
SEATTLE WASH,57,,,,,,,,,,,,,,,95.0,144
NUMBER OF SAMPLES,,2,2,1,2,3,2,2,2,3,1,,,,,92.7,144
MAXIMUM,,57,36,34,24,100,,66,41,33,37,,,,,93.5,144
AVERAGE,,,23,34,17,70,38,56,26,22,37,,,,,94.9,144
MINIMUM,,45,11,34,11,34,25,47,1i,14,37,,,,,91.5,144
SUBURBAN,,,,,,,,,,,,,,,,96.0,145
MIODLESEX Cc NTY MASS,55,,,,,,,,,,,,,,,86.4,145
NUMBER OF SAMPLES,,2,1,2,,1,3,2,3,3,,2,3,,,94.5,145
MAXIMUM,,3,,14,,2,5,1,4,4,5,5,6,,,84.3,145
AVERAGE,,2,,9,,2,2,,2,3,,2,2,,,92.4,145
MINIMUM,,2,,4,,2,,,1,2,,,,,,88.2,145
LA KEHURST N J,55 56,,,,,,,,,,,,,,,93.7,145
NUMBER OF SAMPLES,,2,1,3,3,2,1,1,,2,,2,1,,,94.1,145
MAXIMUM,,,,13,2i,2,,,,,,,,,,86.8,145
AVERAGE,,,,5,7,,,,,,,,,,,92.3,145
MINIMUM,,,,,,,,,,,,,,,,88.0,145
KA NAWHA 4 VA,54 35,,,,,,,,,,,,,,,81.3,145
NUMBER OF SAMPLES,,1,3,2,1,5,3,3,1,,,1,1,,,94.9,145
MAXIMUM,,,9,7,32,45,,,4,,2,,,,,95.0,145
AVERAGE,,,3,7,32,28,28,,4,,2,,,,,95.4,145
MINIMUM,,,,7,32,4,,,4,,2,,,,,95.8,145
HA MiLTON COUNTY OHIO,54 55,,,,,,,,,,,,,,,77.8,145
NUMBER OF SAMPLES,,,1,4,2,5,3,4,4,4,4,3,2,,,94.6,145
MAXIMUM,,,13,75,58,55,56,72,15,19,11,6,14,,,90.8,145
AVERAGE,,,13,47,46,38,43,41,10,11,Be,5,9,,,92.4,145
MINIMUM,,,13,14,35,23,32,15,8,5,6,5,4,,,92.4,145
DE NVER COUNTY COLO,54 55,,,,,,,,,,,,,,,93.2,145
NUMBER OF SAMPLES,,,1,1,1,,,1,,2,2,1,1,,,94.5,145
MAXIMUM,,,3,,18,,,20,,17,25,18,6,,,91.6,145
AVERAGE,,,3,5,18,,,20,,14,,18,6,,,95.4,145
MINIMUM,,,3,5,18,,,20,,iil,17,16,6,,,89.1,145
NONURBAN,,,,,,,,,,,,,,,,68.0,145
PT WORONZOF ALASKA,55 56,,,,,,,,,,,,,,,90.2,145
NUMBER OF SAMPLES,,1,,1,1,1,,1,2,1,1,1,1,,,93.0,145
MAXIMUM,,2,,2,2,9,,8,13,8,5,23,2,,,85.4,145
AVERAGE,,2,,2,2,8,,8,9,8,5,23,2,,,94.0,145
MiNi MUM,,2,,2,2,6,,8,5,8,5,23,2,,,81.1,145
