Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEVADA TOTAL,57,26,25,167,76,38,44,,,68,78,90,112,129,,,95.7,37
OREGON TOTAL,55 57,137,8,438,98,40,47,57,69,77,86,100,134,178,,,93.6,37
WASHINGTON TOTAL,57,25,16,232,99,33,44,64,,90,104,,149,,,,95.5,37
NEW ENGLNO TOTA,,S11,8,700,91,29,,,63,74,88,109,129,,,,90.7,38
MIO ATLNTC TOT AL,55 57,1829,7,829,124,44,59,73,87,104,i2i,139,173,224,,,92.1,38
MIO EAST TOTAL,55 57,440,9,952,119,38,51,61,79,95,112,135,166,220,,,93.9,38
SOUTH EAST TOT AL,55 57,,,803,111,38,,62,72,83,98,120,153,207,,,93.8,38
Mio WEST TOTAL,55 57,1065,7,618,119,38,53,65,78,94,113,139,174,30,,,90.1,38
GRT PLAINS TOTAL,57,697,5,745,104,31,41,50,63,80,95,117,146,207,,,94.2,38
GULF SOUTH TOT AL,55,303,8,558,81,24,33,41,50,60,75,91,115,157,,,94.1,38
ROCKY MNTN TOT AL,55 57,253,,467,102,26,41,52,68,B2,98,117,149,201,,,93.1,38
PAC COAST TOTAL,55 57,785,,790,119,29,43,56,71,86,105,132,170,248,,,92.4,38
GRAND TOTAL,55 57,6584,,952,113,34,47,60,74,88,106,128,159,218,,,94.6,38
