Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
MAXIMUM,,,,30,,10,20,,10,10,40,20,20,,,95.3,220
AVERAGE,,,,30,,5,14,7,10,10,23,13,20,,,94.1,220
MINIMUM,,,,30,,,8,,10,10,9,7,20,,,90.9,220
TAMPA FLA,55,,,,,,,2,,,,,,,,87.8,220
NUMBER OF SAMPLES,,2,,1,3,2,1,,,,1,2,,,,88.9,220
MAXIMUM,,13,20,,10,7,20,,30,70,70,,1.0,,,89.9,220
AVERAGE,,11,20,,9,3,20,,30,36,70,,10,,,95.0,220
MINIMUM,,9,20,,7,,20,,30,20,70,,10,,,87.3,220
ATLANTA GA,55 56,,,,,,,,,,,,,,,89.0,220
NUMBER OF SAMPLES,,1,1,3,2,1,1,3,1,,1,1,,,,93.8,220
MAXIMUM,,3200,80,610,980,400,40,60,70,,190,160,20,,,93.5,220
AVERAGE,,3200,890,240,492,400,40,42,70,,190,160,20,,,93.2,220
MINIMUM,,3200,80,40,4,400,40,7,70,,190,160,20,,,94.1,220
CHATTANOOGA TENN,55 S6,,,,,,,,,,,,,,,87.0,220
NUMBER OF SAMPLES,,1,5,3,2,2,,1,4,4,5,3,,,,94.8,220
MAXIMUM,,4,50,50,6,170,,10,40,50,140,60,110,,,91.3,220
AVERAGE,,,32,36,4,104,,10,22,32,71,30,89,,,93.7,220
MINIMUM,,4,20,20,3,38,,10,8,,10,10,68,,,90.8,220
CHICAGO th,,,,,,,,,,,10,10,,,,86.5,220
NUMBER OF SAMPLES,,2,3,2000,3,8,11,9,6,3900,,,,,,93.4,220
MAXIMUM,,20,1200,,550,4900,3400,770,1500,,4700,3000,170,,,91.2,220
AVERAGE,,20,446,468,363,993,605,141,371i,1467,901,404,132,,,91.8,220
MINIMUM,,20,20,40,10,20,90,7,30,40,40,40,60,,,90.1,220
EAST ST LOUIS PEL,56,,,,,,,,,,,,,,,80.8,220
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,,,,95.6,220
MAXIMUM,,2110,130,2400,290,710,320,3500,840,1700,30,140,130,,,93.2,220
AVERAGE,,97,80,1255,230,370,163,3500,355,730,30,125,103,,,95.1,220
MINIMUM,,80,30,110,170,30,20,3500,70,60,30,110,80,,,95.0,220
EAST CHICAGO 1nd,55,,,,,,,,,,,8,,,,72.4,220
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,,,,,92.6,220
MAXIMUM,,4300,360,5000,250,180,290,510,730,1470,600,480,3000,,,90.4,220
AVERAGE,,984,120,722,144,92,127,,197,291,259,147,429,,,95.3,220
MINIMUM,,9,30,20,64,7,13,7,39,7,74,is,20,,,92.2,220
CINCINNATI,55,,,,,,,,,,,,,,,91.5,220
NUMBER OF SAMPLES,,2,,2,2,2,2,2,3,2,1,1300,,,,95.0,220
MAXIMUM,,90,,2400,970,400,250,440,1100,960,180,,690,,,95.5,220
AVERAGE,,75,,2400,665,235,200,370,416,487,180,653,,,,95.1,220
MinNiMUM,,60,,2400,360,71,150,300,30,14,180,,400,,,87.2,220
YOUNGSTOWN OHIO,57,,,,,,,,,,,,,,,88.3,220
NUMBER OF SAMPLES,,,,1,2,1,1,2,2,1,190,,,,,95.5,220
MAXIMUM,,,,57,120,140,53,110,320,61,,,,,,91.4,220
AVERAGE,,,,57,103,140,53,110,210,61,190,,,,,94.4,220
MINIMUM,,,,57,86,140,53,110,100,61,190,,,,,92.2,220
ul LWAUKEE WIS,57,,,,,,,,,,,,,,,67.0,220
NUMBER OF SAMPLES,,2,2,2,3,2,1,2,2,2,1,,,,,95.2,220
MAXIMUM,,76,140,,120,140,,62,60,717,,,,,,91.8,220
AVERAGE,,67,70,36,40,96,,31,30,38,,,,,,95.3,220
MINIMUM,,58,,,,53,,,,,,,,,,81.7,220
wl NNEAPOLIS SAMPLES,54 55,,,,,,,,,,,,,,,81.6,220
NUMBER OF,,1,1,1,1,,2,,5,4,3,2,,,,93.6,220
MAXIMUM,,30,30,90,20,,10,,40,40,40,70,590,,,94.0,220
AVERAGE,,30,30,90,20,,10,,26,22,33,39,,,,95.3,220
MINIMUM,,30,30,90,20,,10,,10,,20,9,50,,,93.3,220
KANSAS CITY MO,55 56,,,,,,,,,,,,,,,92.6,220
NUMBER OF SAMPLES,,4,2,3,3,3,2,2,4,1,1,1,2900,,,93.9,220
MAXIMUM,,80,290,50,100,100,40,70,220,140,40,80,,,,90.4,220
AVERAGE,,33,180,42,36,36,35,40,90,140,40,80,2900,,,95.3,220
MINIMUM,,10,70,37,,3,30,10,20,140,40,80,2900,,,94.8,220
LOUIS MO,55 56,,,,,,,,,,,,,,,90.0,221
NUMBER OF SAMPLES,,2,2,,2,3,2,,3,1,1,3,2,,,94.6,221
MAXIMUM,,100,420,,280,200,140,190,320,60,100,200,110,,,95.5,221
AVERAGE,,70,255,,180,126,105,100,260,60,100,110,100,,,95.5,221
MINS MUM,,40,90,,,50,70,10,260,60,100,50,90,,,86.4,221
NEW ORLEANS LA,54,,,,,,,,,,,,,,,91.0,221
NUMBER OF SAMPLES,,2,3,3,4,4,4,6,4,4,4,5,3,,,95.3,221
MAXIMUM,,10,40,10,30,30,,430,9,100,60,20,60,,,95.0,221
AVERAGE,,9,22,4,11,11,,88,4,25,15,5,29,,,92.0,221
MINIMUM,,8,7,,,,,,,,,,7,,,70.8,221
FT WORTH TEX,54 55,,,,,,,,,,,,,,,92.8,221
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,,2,2,2,2,,,91.6,221
MAXIMUM,,20,10,7,5,3,40,,,,,30,40,,,93.8,221
AVERAGE,,15,10,3,2,1,25,,,,,18,20,,,94.7,221
Mit MUM,,10,10,,,,10,,,,,7,,,,79.2,221
HOUSTON TEX A 8,54,,,,,,,,,,,,,,,79.0,221
MAXIMUM UMBER OF SAMPLES,,,5,6,,5,,7,3,6,6,9,7,,,86.3,221
,,,200,57,7,110,54,220,57,300,94,140,110,,,94.9,221
AVERAGE,,,82,28,3,65,41,,30,131,28,33,43,,,94.9,221
MIMIMUM,,,24,6,,49,6,,6,22,6,5,6,,,86.0,221
BELLAIRE TEX,54 55,,,,,,,,,,,,,,,94.8,221
NUMBER OF SAMPLES,,,2,3,2,2,2,2,3,3,4,2,3,,,95.6,221
MAXIMUM,,94,22,37,7,40,50,,,11,90,24,93,,,94.5,221
AVERAGE,,42,14,20,5,20,27,5,,10,67,14,39,,,95.8,221
Mint MUM,,12,,7,3,,5,,,10,,5,11,,,76.3,221
DENVER COL,54 55,,,,,,,,,,,,,,,93.0,221
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,2,2,2,1,2,,,95.7,221
MAXIMUM,,50,50,130,120,110,100,60,30,30,100,110,290,,,94.5,221
AVERAGE,,40,50,100,90,85,65,60,30,20,53,110,265,,,94.8,221
Mini MuM,,30,,70,60,60,30,60,30,10,6,110,240,,,81.4,221
SALT LAKE CITY UTAH,54 55,,,,,,,,,,,,,,,95.5,221
NUMBER OF SAMPLES,,3,2,2,2,2,6,2,2,2,2,2,3,,,93.9,221
MAXIMUM,,140,280,70,60,20,50,70,10,130,70,1690,120,,,93.2,221
AVERAGE,,73,205,55,34,20,29,55,9,125,65,110,83,,,90.8,221
MIMEMUM,,30,130,40,9,20,9,40,8,120,60,60,60,,,91.7,221
AMCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,86.0,221
NUMBER OF SAMPLES,,,1,2,8,2,4,,1,,1,1,1,,,94.6,221
MAXIMUM,,,10,10,642,50,22,,,,10,,10,,,95.4,221
AVERAGE,,,10,190,168,43,10,,,,10,,10,,,91.9,221
MUM,,,10,10,7,36,,,,,10,,10,,,87.6,221
SAN FRANCISCO CALIF,55 56,,,,,,,,,,,,,,,89.2,221
WUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,,1,,,94.0,221
MAXIMUM,,10,60,,3,40,20,10,,9,30,20,20,,,94.0,221
AVERAGE,,,30,,3,17,12,4,,3,10,4,20,,,95.9,221
Minti,,,,,3,,4,,,,,,20,,,75.8,221
PASADENA CALIF,55 56,,,,,,,,,,,,,,,73.8,221
NUMBER OF SAMPLES,,2,2,1,3,3,2,3,,2,2,,,,,93.2,221
MAXIMUM,,50,50,40,65,30,30,70,,50,20,,,,,94.8,221
AVERAGE,,40,25,40,40,23,18,53,,45,15,,,,,95.5,221
Mini MUM,,30,,40,27,10,7,30,,40,10,,,,,79.3,221
SAN JOSE CA,54 56,,,,,,,,,,,,,,,91.6,221
WUMBER OF SAMPLES,,1,2,2,1,3,3,3,3,2,1,2,3,,,92.7,221
MAXIMUM,,20,30,10,47,80,50,41,51,200,55,50,690,,,92.9,221
AVERAGE,,20,19,5,47,43,25,33,41,160,,30,257,,,93.2,221
MiMi MUM,,20,8,,47,10,7,19,35,120,55,10,3,,,83.1,221
SAN CALIF,55 56,,,,,,,,,,,,,,,71.2,221
R OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,95.3,221
,,310,110,80,60,50,540,150,120,80,490,950,40,,,94.8,221
AVERAGE,,153,110,70,60,50,345,75,7a,80,223,274,40,,,89.6,221
,,60,110,60,60,50,150,10,40,80,40,,40,,,94.9,221
PORTLANO OREGON,54,,,,,,,,,,,,,,,94.0,221
NUMBER OF SAMPLES,,1,,3,1,,,2,7,,1,,,,,89.0,221
MAXi MUM,,760,,360,20,,,150,630,280,890,,,,,84.7,221
AVERAGE,,760,,136,20,,,115,335,146,890,,,,,95.5,221
MiMi MUM,,760,,10,20,,,80,40,60,890,,,,,80.2,221
SEATTLE WASH,57,,,,,,,,,,,,,,,95.0,221
NUMBER OF SAMPLES,,2,2,1,2,3,2,2,,,1,,,,,95.5,221
MAXIMUM,,100,85,85,68,110,67,60,84,170,110,,,,,88.1,221
AVERAGE,,92,74,85,61,B81,64,53,70,101,110,,,,,91.6,221
,,85,63,85,55,65,61,46,56,,110,,,,,90.4,221
SUBURBAN,,,,,,,,,,,,,,,,96.0,222
MIDOLESEX CNTY MASS,55,,,,,,,,,,,,,,,93.5,222
NUMBER OF SAMPLES,,2,1,2,,1,,2,3,,1,,3,,,89.9,222
MAXIMUM,,40,10,50,,9,20,20,20,20,,30,90,,,86.3,222
AVERAGE,,25,10,35,,9,,11,11,16,20,30,36,,,95.5,222
MINIMUM,,10,10,20,,9,,3,,9,20,30,,,,94.9,222
LA KEHURST N J,55 56,,,,,,,,,,,,,,,91.0,222
NUMBER OF SAMPLES,,,1,2,2,2,,1,,2,1,,1,,,94.0,222
MAXIMUM,,23,7,31,53,10,30,8,,12,8,30,ig,,,90.6,222
AVERAGE,,15,7,,30,6,30,8,,10,8,25,19,,,95.3,222
MINIMUM,,7,7,5,7,3,30,8,,8,8,20,19,,,89.0,222
KA NAWHA CO w VA,55,,,,,,,,,,,,,,,85.3,222
NUMBER OF SAMPLES,,1,3,2,,2,,3,1,,2,,1,,,95.1,222
MAX1MUM,,,460,20,,8,20,,,,14,,4,,,93.3,222
AVERAGE,,,157,18,,4,20,,,,7,,4,,,94.4,222
MtNtMUM,,,4,17,,,20,,,,,,4,,,77.2,222
DE NVER COUNTY COLO,54,,,,,,,,,,,,,,,92.2,222
NUMBER OF SAMPLES,,,1,1,1,,,1,,2,2,,1,,,95.2,222
MAXIMUM,,,20,20,9,,,,,10,3,20,20,,,91.8,222
AVERAGE,,,20,20,9,,,12,,5,1,20,20,,,91.2,222
MINIMUM,,,20,20,,,,12,,,,20,20,,,93.8,222
NONURBAN,,,,,,,,,,,,,,,,91.0,222
PT ALASKA,55 56,,,,,,,,,,,,,,,88.5,222
NUMBER OF SAMPLES,,1,,1,1,2,,1,2,1,1,,1,,,94.7,222
MAXIMUM,,20,,10,20,10,,,20,10,10,,3,,,94.2,222
AVERAGE,,20,,10,20,8,,,12,10,10,,,,,94.2,222
MINIMUM,,20,,io,20,7,,,5,10,10,,,,,89.1,222
