Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
P T OTA,57,24,15,198,76,21,49,53,60,65,76,86,105,145,,,91.9,9
CA ROLIN A T OTA,57,53,46,285,109,59,76,83,90,97,103,129,142,171,,,90.3,9
ENNE SSEE TOT AL,54 57,260,25,644,166,68,89,109,128,148,169,196,236,292,,,91.7,9
1 LL InOIS T OTAL,54 57,476,14,865,,77,1,141,170,199,234,268,313,388,,,82.9,9
ND 1A nan T 0 TAL,55 57,307,13,978,220,93,1 17,137,162,189,220,261,312,389,,,90.7,9
1c HI GAN T OTAL,53 57,240,23,743,173,56,84,101,115,136,158,189,234,340,,,87.7,9
0 Hd 0 TOTA,53 57,607,17,656,157,72,90,108,123,139,157,179,211,270,,,90.1,9
is CONSIN TOT AL,57,48,56,367,153,71,1 00,112,123,137,154,176,196,253,,,89.5,9
Ow A TOTAL,57,26,77,458,176,94,1,123,150,166,181,191,210,227,,,94.1,9
AN SA s TO TAL,55 57,83,30,470,146,58,72,89,101,123,141,175,213,2988,,,86.7,9
IN NE SOTA TOT AL,53 57,254,25,722,122,61,77,90,100,110,121,135,,100,,,91.9,9
a so URI TOTAL,53 57,414,12,800,181,70,98,120,143,170,190,214,245,301,,,87.3,9
NEB RA SKA TOTAL,57,52,65,248,127,81,92,101,109,119,130,141,166,191,,,89.7,9
NOR TH DAK OTA TOTAL,57,24,51,220,109,535,69,74,94,105,117,132,141,171,,,93.2,9
SOU TH DAK OTA TOTAL,57,26,51,169,87,53,58,69,76,B82,87,94,111,123,,,89.2,9
ARK AN SAS TOTAL,57,26,34,170,83,42,47,60,63,76,86,97,123,134,,,93.9,9
LOU LANA TOT AL,54 57,240,16,775,94,42,53,61,71,81,89,101,120,159,,,91.8,9
NEW MEXICO TOTAL,57,22,114,375,201,123,1 45,161,171,183,195,213,257,327,,,94.5,9
OKL AHOMA TOTAL,57,20,22,268,87,40,49,52,55,72,83,97,123,145,,,91.2,9
TEX AS TOT AL,53 57,575,10,2928,142,64,76,90,104,115,130,150,175,233,,,95.1,9
COL OR ADO TOTAL,54 57,1435,15,593,153,76,94,107,119,135,151,173,206,,,,91.4,9
HO TOT AL,57,34,48,207,118,68,79,89,102,110,118,132,145,191,,,93.2,9
MON TA nan T OTAL,57,25,17,466,109,25,34,40,62,,105,129,140,236,,,93.6,9
UTA H TOTAL,53 57,129,54,107,176,87,1 O21,115,130,146,163,183,215,321,,,90.3,9
WYOMING TOTAL,57,27,22,130,5 6,29,32,47,51,55,58,63,71,76,,,89.9,9
ALA SKA TOTAL,93 57,127,,3112,240,45,63,89,123,158,198,264,333,473,,,90.7,9
ARI ZONA TOTAL,57,26,119,488,246,134,1,166,201,227,257,278,327,419,,,93.6,9
CAL TOTAL,53 57,690,11,991,146,S2,74,90,109,127,149,171,200,266,,,93.2,9
HAW All TOTAL,56 57,62,20,87,39,26,28,31,32,34,37,39,47,65,,,95.5,9
NEVADA TOTAL,57,27,54,468,164,114,1253,131,140,149,156,167,191,250,,,91.2,9
OREGON TOTAL,53 57,278,26,632,141,"5 6,",71,87,99,114,135,160,187,266,,,91.4,9
WASHINGTON TOTAL,57,25,41,446,124,Si,60,89,108,117,1235,140,154,201,,,90.2,9
NEW ENGLNO TOTAL,,669,,472,,,,,92,104,121,138,163,203,,,92.7,10
MIO ATLNTC TOTAL,53 S7,2398,25,1011,191,78,101,125,,168,193,,258,320,,,91.9,10
MIO EAST TOTAL,53 57,623,28,793,170,72,92,106,121,137,155,180,221,317,,,92.4,10
SOUTH EAST TOTAL,33 57,758,15,644,129,57,72,85,97,110,127,148,173,226,,,92.2,10
MIO WEST TOTAL,53 57,1705,13,978,,74,97,117,137,159,186,,268,344,,,94.2,10
GRT PLAINS TOTAL,33 57,879,12,800,152,65,83,99,114,131,151,179,200,262,,,91.2,10
GULF SOUTH TOTAL,53 57,883,10,2928,128,52,67,79,91,105,118,138,163,214,,,92.2,10
ROCKY MN TN TOTAL,53 57,358,15,1070,148,59,81,97,111,126,142,167,194,264,,,88.0,10
PAC COAST TOTAL,53 57,1235,,3112,153,44,66,85,104,123,146,170,205,290,,,93.4,10
GRAND TOTAL,53 57,9506,,3112,163,62,82,99,117,136,158,186,224,295,,,92.0,10
